Date,Property ID,Property,Ad Space ID,Ad Space Name,Placement ID,Placement Name,Delivery Method,Display Format,Requests,Filled Requests,Fill Rate,Impressions,Impression Rate,2-second Continuous Video Views,2-second Continuous Video View Rate,10-second Video Views,10-second Video View Rate,Clicks,CTR,Average CPM,Revenue
2019-09-17,"=""158926854793451""","=""ivi.ru""","=""1981448851959969""",Ivi_PreRoll_CIS,"=""1981453431959511""",Position2_CIS,standard,instream_video,60046,15770,0.26263198214702,10258,0.65047558655675,10258,1,9022,0.8795086761552,40,0.003899395593683,1.6331077412751,16.75241921
2019-09-17,"=""158926854793451""","=""ivi.ru""","=""1981448851959969""",Ivi_PreRoll_CIS,"=""1981453901959464""",Position3_CIS,standard,instream_video,39297,12077,0.30732625900196,8309,0.68800198724849,8309,1,7282,0.87639908532916,34,0.00409194848959,1.6321172475629,13.56126221
2019-09-17,"=""158926854793451""","=""ivi.ru""","=""1543119192459606""",pre-roll,"=""1982980468473474""",Ivi_PreRoll_CIS_mobile,standard,instream_video,44163,8858,0.20057514208727,4674,0.52765861368255,4674,1,3896,0.83354728284125,22,0.004706889174155,1.5319375502781,7.16027611
2019-09-17,"=""208370176393429""","=""lenta.ru""","=""165348097296579""",Lena_pre-roll,"=""165348140629908""",Pre-roll,standard,instream_video,242233,44355,0.1831088249743,28943,0.65253071807012,28943,1,14078,0.48640431192344,97,0.003351414849877,2.4122124516463,69.816664988
2019-09-17,"=""428247697648146""","=""debilizator.tv""","=""174282666620331""",First Desktop Web Ad Space,"=""174282866620311""",Debilizator.tv_31.05.18,standard,instream_video,9295,3355,0.36094674556213,2685,0.80029806259314,2685,1,1625,0.60521415270019,13,0.004841713221602,6.2593855843575,16.806450294
2019-09-17,"=""676348746046261""","=""vokrug.tv""","=""183425215856701""",First Desktop Web Ad Space,"=""183425229190033""",First Desktop Web In-stream Video Placement,standard,instream_video,3125,958,0.30656,824,0.86012526096033,824,1,504,0.61165048543689,15,0.018203883495146,2.292858532767,1.889315431
2019-09-17,"=""789285774603144""","=""gazeta.ru""","=""1956898614526961""",Gazeta.ru_instream,"=""1956898687860287""",Gazeta_instream_new,standard,instream_video,127604,35048,0.27466223629353,11865,0.3385357224378,11865,1,4328,0.36477033291193,153,0.012895069532238,1.1454464475348,13.5907221
2019-09-17,"=""860498464121379""","=""rambler.ru""","=""847805922039838""",Rambler.ru_instream,"=""936889249798171""",Rambler.ru,standard,instream_video,740744,183444,0.24764831034743,83920,0.45746930943503,83920,1,36322,0.43281696854147,1051,0.012523832221163,1.7174665114395,144.12978964
2019-09-17,"=""1824311337861930""","=""tnt-online.ru""","=""2334257023467438""",Tnt-online.ru_instream,"=""2334257326800741""",tnt-online.ru_instream,standard,instream_video,59246,16625,0.28060966141174,14488,0.87145864661654,14488,1,11505,0.79410546659304,48,0.003313086692435,6.0139780869685,87.130514524
2019-09-17,"=""2029886443925692""","=""rutube.ru""","=""1448859808542845""",Rutube,"=""1448860211876138""",Rutube.ru,standard,instream_video,1158211,372633,0.32173153251005,179229,0.48097994541546,179229,1,137398,0.76660585061569,757,0.004223646842866,4.2796228664948,767.032526739
2019-09-17,"=""2029886443925692""","=""rutube.ru""","=""2013158515446302""",Rutube_iOS_app,"=""2013159032112917""",Rutube iOS_app,standard,instream_video,7680,4475,0.58268229166667,3995,0.8927374301676,3995,1,3195,0.79974968710889,34,0.008510638297872,5.5315954918648,22.09872399
2019-09-16,"=""130940864343573""","=""showjet.ru""","=""784350111766188""",Showjet,"=""784350188432847""",Showjet,standard,instream_video,165711,23536,0.14203040232694,15126,0.64267505098572,15126,1,11318,0.74824804971572,11,0.000727224646304,4.7490777317202,71.83454977
2019-09-16,"=""151381672148111""","=""gamak.tv""","=""500564580322325""",Gamak.tv,"=""500564633655653""",Gamak.tv,standard,instream_video,6747,2690,0.39869571661479,2304,0.85650557620818,2304,1,1332,0.578125,9,0.00390625,6.0899857387153,14.031327142
2019-09-16,"=""154850758460936""","=""my.mail.ru""","=""1481911218552416""",news.mail.ru,"=""1481911508552387""",Mail.ru_pre-rolls,standard,instream_video,38922,15200,0.39052463902163,6470,0.42565789473684,6470,1,2559,0.39551777434312,64,0.009891808346213,3.5773352846986,23.145359292
2019-09-16,"=""154850758460936""","=""my.mail.ru""","=""1538370962906441""",News.mail.ru,"=""1538371399573064""",News.mail.ru_pre-roll,standard,instream_video,29754,5445,0.18300060496068,3768,0.69201101928375,3768,1,2203,0.58466029723992,105,0.027866242038217,3.8686567632696,14.577098684
2019-09-16,"=""158926854793451""","=""ivi.ru""","=""1275054429266085""",www.ivi.ru,"=""1275054502599411""",Position1,standard,instream_video,106165,13866,0.13060801582442,8357,0.60269724505986,8357,1,7303,0.8738781859519,46,0.005504367596027,5.0229337657054,41.97665748
2019-09-16,"=""158926854793451""","=""ivi.ru""","=""1303846586386869""",Ivi_PreRoll_CIS_4,"=""1303846696386858""",Position4_CIS,standard,instream_video,23931,8596,0.35919936484058,6231,0.72487203350396,6231,1,5470,0.87786872091157,21,0.003370245546461,1.5003643123094,9.34877003
